,Datetime,Tweet Id,Text,Number of Likes,Number of Retweets,Number of Replies,Number of Quotes
887,2021-06-19 13:36:21+00:00,1406244461936533505,"Had the pleasure of spending time with Byram Bridle and Robert Malone, father of the mRNA vaccine, now riding to his rescue.

Bridle was smeared+threatened for doing what scientists do. 

Our governments and their ""advisors"" who took part should hang their heads.

Podcast soon.",716,191,23,10
1160,2021-05-16 23:12:32+00:00,1394068278423691266,"We've known how durable mRNA vaccines are for neutralizing antibodies over time (≥ 7 months) but how about against the variants?
Really well. Even in older people.
https://t.co/RuqKHNjs9I by @NIAIDNews VRC @SutharLab @moderna_tx https://t.co/ZxtPayxw96",645,191,20,9
1575,2021-03-31 17:09:39+00:00,1377307110971736069,"mRNA vaccines take on immune tolerance. A tolerizing mRNA vaccine prevents autoimmune disease in mice #NBTNV
https://t.co/egb1ADXgGx https://t.co/FSFz8H17Cg",565,191,8,14
1581,2021-03-30 15:47:21+00:00,1376924011716730880,"An in-depth assessment of the P.1 (Brazil) variant 
—less immune evasion than B.1.351 (South Africa) variant despite similar receptor binding domain mutations
—very good neutralization by mRNA vaccine via sera from vaccines
https://t.co/2m0A1Pjs9O @CellCellPress today https://t.co/uyV2eZdLQ9",545,191,17,31
2251,2020-12-10 16:31:11+00:00,1337072377390374914,Sharing with my *extended* friends and family - a short video summarizing how #COVID19 mRNA vaccines work &amp; a bit of what we know about them so far based on available data. Hopefully you find it useful and informative #SciComm https://t.co/KbZHTvzcVb https://t.co/SV1295hRwP,355,191,22,64
377,2021-07-28 15:06:49+00:00,1420400355595100161,"อาจารย์หม่อง อาจารย์เป็นอายุรแพทย์โรคหัวใจ ที่ เชียงใหม่ พูดเรื่อง mRNA vaccine กับการเกิด กล้ามเนื้อหัวใจ/เยื่อหุ้มหัวใจอักเสบ 

https://t.co/UZLPUryErX",254,191,1,2
70,2021-08-25 00:38:52+00:00,1430328790513717251,"Just on the ABC news that Israel is giving booster mRNA shots to age 30 or over. We're months behind them in vaccine rollout, so that will have to wait untile excess vaccine is available here.",718,190,48,14
2305,2020-12-04 11:39:29+00:00,1334824641815343110,"I'm so bored and disgusted about the Italian debate around #COVIDー19 that I decided to do what I like the most. Explain science (at least, I try). Many people are concerned about new RNA vaccines. mRNA is produced out of DNA in the nucleus, (DNA is too precious to get out) 1/n https://t.co/BMnkRqW6C5",689,190,40,40
1730,2021-03-03 13:26:22+00:00,1367104061158391808,"On the issue of increasing the dosing interval for mRNA vaccines (limiting this to mRNA vaccines), we:

a. Have good observational evidence now that there is at least short term protection after first dose.",625,190,40,56
1855,2021-02-10 15:13:46+00:00,1359520945753489409,"A very encouraging study done on our mRNA vaccines! Pfizer and Moderna vaccines provided strong immune responses against variant B.1.351 first identified in South Africa in those who recovered from previous SARS-CoV-2 infections with a SINGLE dose.
https://t.co/pK7c4ahMvT",603,190,19,28
1432,2021-04-15 11:47:46+00:00,1382661924979154952,"Germany's CureVac vaccine now has over 40,000 volunteers for its Phase 2B/3 trials, putting it on track for EU approval in May/June. This mRNA vaccine does not require ultra-cold storage but a regular fridge, potentially a game changer for developing countries who want mRNA.*",546,190,7,10
2205,2020-12-16 10:05:36+00:00,1339149669813735424,Moderna mRNA vaccine สำหรับ #โควิด19 นอกจากป้องกันการติดเชื้อได้ 94.1% แล้ว ในผู้ที่ได้รับวัคซีนแต่ติดเชื้อ (ซึ่งมีไม่ถึง 5%) วัคซีนนี้สามารถป้องกันการเกิดอาการได้ 67%,167,190,2,0
745,2021-06-28 12:06:44+00:00,1409483399534944257,"Oh great.
@RWMaloneMD 
inventor of mRNA technology just said the FDA didn’t require pharmaceuticals to track the vaccine after EUA.
What could go wrong??
🧐🤦‍♂️

 https://t.co/A2j7IVrKDL",164,190,10,6
881,2021-06-20 02:25:23+00:00,1406437996606345216,Loving Vic Announcement. We are NOW able to produce mRNA vaccines in Vic. Thanks @DanielAndrewsMP @JamesMerlinoMP @MonashUni @VictorianCHO,1023,189,29,7
1689,2021-03-11 22:12:20+00:00,1370135526565675008,"Anytime - ahem - someone brags about their role in the rapid development of mRNA vaccines to fight COVID, know that they are full of it. The mechanism for these vaccines took a decade to perfect, done in response to SARS &amp; MERS outbreaks. Adapting to SAR-COv-2 was the easy part.",847,189,37,10
263,2021-08-09 12:41:25+00:00,1424712419960631301,"Original patentor of mRNA vaccines, who is also vaccinated, on his use of Ivermectin. https://t.co/40Ea6GanwJ",494,189,10,5
1024,2021-06-05 15:48:28+00:00,1401204283203149830,"คนสิงคโปร์เรียกร้องรัฐบาลให้สั่ง Sinovac เป็นวัคซีนทางเลือก 

แม้ต้องจ่ายเงินเองก็ยอม เพราะบางกลุ่มไม่อยากฉีด Pfizer หรือ Moderna ซึ่งเป็นเทคโนโลยี mRNA vaccines , 
เพราะไม่เหมาะกับคนที่มีประวัติแพ้อย่างรุนแรงหรือมีโรคทางภูมิคุ้มกัน https://t.co/18CMeXb8uS",159,189,0,4
1463,2021-04-13 12:37:00+00:00,1381949542086680578,"Pausing a vaccine for a side effect that is known to be a common side effect among many other vaccines that has occurred in fewer than a dozen instances of 7 million jabs feels like a political move rather than a medical one. 

J&amp;J isn't even mRNA. It's a traditional vaccine.",1472,188,177,27
1933,2021-01-25 14:34:59+00:00,1353712979699781634,"Plus, mRNA vaccines have a really fast turnaround time—if and when we need to update. I'm seeing so many people with high anxiety over things that are not really happening or are not our actual problems. Our bottleneck is logistics and justice: producing enough for the world.",1113,188,11,12
1229,2021-05-06 14:02:32+00:00,1390305985328291840,Fact: #COVID19 vaccines are safe and effective and can’t change your DNA. Find out how mRNA vaccines work: https://t.co/jTR0mkARCf #VaccinesWork https://t.co/PWN5nRJEQs,410,188,129,18
2304,2020-12-04 13:49:39+00:00,1334857402965843969,"basically, mRNA hanya translated oleh ribosome. ribosome pulak ada dekat golgi body &amp; freely inside the cytosol. So, there would be no chance the mRNA to get into our nucleus (where DNA is kept). the vaccine just bagi instruction for the ribosome to produce a protein- https://t.co/2OWT3KXEfc",337,188,4,13
486,2021-07-19 07:32:23+00:00,1417024504790806531,"REPORT: World renowned scientist and INVENTOR of the mRNA vaccine, Dr. Robert Malone, posted two cryptic Tweets indicating someone may try to kill him. https://t.co/13EUZqGWuq",286,188,17,18
855,2021-06-21 14:03:28+00:00,1406976061531836422,"Erm..the common cold is also caused by a “coronavirus”. Also SARS, MERS, etc. 

Research for mRNA vaccines for coronaviruses was ongoing since over 2 decades. Coronavirus does NOT mean only Covid-19.

This was NOT a conspiracy.

Someone should delete this man’s WhatsApp for real. https://t.co/w41iOxi4mf",961,187,43,1
962,2021-06-14 01:43:32+00:00,1404253136559222788,"10) 📍Outbreak even w/ 2 dose of mRNA vaccines—🇨🇦 hospital—16 patients &amp; 6 healthcare staff #DeltaVariant positive. 6/16 patients &amp; 5/6 HCWs had received 2 doses of #COVID19 vaccine; 7 patients &amp; 1 healthcare worker had 1 dose. 1 patient now in ICU. 
https://t.co/YlXEOED68O",387,187,32,30
1323,2021-04-25 15:13:33+00:00,1386337591402713097,"mRNA vaccines are gene codes that are being given at scale to the whole world which can then be updated every few months ostensibly for ""newer"" strains of SARSCoV2. New strains will be constantly discovered requiring mRNA code updates - perpetual pandemic! https://t.co/4gaVVrZAsP",370,187,25,2
872,2021-06-20 15:53:15+00:00,1406641305007108112,All should be educated on this mostly all females getting the vaccines. All need to worry about bone marrow also. Inventor of mRNA Technology: Vaccine Causes Lipid Nanoparticles to Accumulate in ‘High Concentrations’ in Ovaries • Children's Health Defense https://t.co/k1kr7dwL8C,135,187,5,8
1765,2021-02-24 23:16:08+00:00,1364715766818439171,Some good news for your evening! Now that it’s finally out I can share! Our updated mRNA-1273.351 Moderna vaccine is on its way to NIH to be tested in early stage clinical trials to determine if it can be used as a booster shot against variant B.1.351 (South Africa strain)!,1086,186,52,31
2342,2020-11-30 12:00:14+00:00,1333380311938428928,"Moderna: Vaccine Efficacy Against COVID-19 Was 94.1%; Vaccine Efficacy Against Severe COVID-19 Was 100% 
$MRNA",867,186,41,105
1900,2021-01-30 12:28:57+00:00,1355493202330066946,"I`m sure I`ll get some stick for this, but, I`m classed as vulnerable and under no circumstances, will I be taking any of these mRNA vaccines.  Any company that bypasses areas of specific, scientific testing and has to have legal indemnity, should be avoided.  Prove me wrong!",816,186,112,25
412,2021-07-26 12:58:45+00:00,1419643353558306819,"@ltgrusselhonore @CDCDirector @MadisonSiriusXM @JoeNBC @JDGheesling @TheDailyShow @MSNBC @CNN FDA needs to approve the mRNA vaccines.  They have been proven safe and effective.  Once they do that, vaccines need to be required the same way the pertussis etc vaccines are required.",733,186,20,9
1475,2021-04-12 02:41:46+00:00,1381437357220634637,Meet the woman who labored for years on the technology underpinning Pfizer and Moderna's mRNA coronavirus vaccines. Many scientists thought her ideas were unworkable. But a few saw real possibilities.  https://t.co/zku9KPbLdh,670,186,6,18
2409,2020-11-16 12:56:47+00:00,1328321115433934849,Moderna says preliminary trial data shows its coronavirus vaccine is more than 94% effective; futures &amp; $MRNA shares soar https://t.co/txNu7DjiNF https://t.co/GCVycUGukV,560,186,34,66
2326,2020-12-02 11:37:48+00:00,1334099443642212353,"What type of vaccine is this?

+ The jab is known as a messenger RNA (mRNA) vaccine.
+ Conventional vaccines are produced using weakened forms of the virus, but mRNAs use only the virus’s genetic code

Read more: https://t.co/IjrG8DB0Y3 https://t.co/oRpumlRM0C",484,186,66,42
1077,2021-05-29 10:28:42+00:00,1398587092960112642,ไม่ใช่ไม่ทันใจเฉพาะคุณ มันไม่ทันใจผมด้วย ใครรู้จักผมก่อนหน้านี้ที่ผมพูดหาวัคซีนมาฉีดให้วันละ 3 แสนจะได้เปิดประเทศก่อนตุลา รับนักท่องเที่ยว ตอนนั้นกระแสการอยากได้วัคซีนยังไม่เหมือนวันนี้เลย วัคซีน ChulaCoV-19 เป็น mRNA vaccine ที่คล้าย Moderna มาก ถ่ายทอดจาก Prof Drew  Weismann 3/,147,185,1,3
2398,2020-11-16 16:31:44+00:00,1328375210941181969,"And it’s stable at minus 20 instead of Pfizer’s minus 75. This is very very good. Also, just the fact that mRNA vaccines work at all will make future vaccines easier and faster to develop. https://t.co/IqSm6iThg3 https://t.co/3jEFvGp4To",3135,184,21,7
1333,2021-04-24 19:41:03+00:00,1386042523584540679,"How do we vaccinate faster? Produce faster, especially mRNA vaccines, which are an insurance policy against variants and production delays, and which may well be safer and more effective. The world depends on scaling up every effective vaccine ASAP, especially mRNA products.3/end",916,184,30,11
1391,2021-04-19 00:53:12+00:00,1383946752273780737,"If this arrogant gov listened when Greens first called for publicly-owned vaccine production we could be well on our way to making mRNA vaccines today.

Greens call on PM to commit at Nat Cabinet to making all kinds of vaccines we need here with a publicly-owned mRNA vax maker.",813,184,112,33
64,2021-08-25 11:54:38+00:00,1430498850729517066,"And while mRNA vaccine is fully FDA approved, Regeneron is not (yet) https://t.co/CFOTMSrFUK https://t.co/klu1nbUGwQ",559,184,28,5
1046,2021-06-03 12:06:22+00:00,1400423614135025668,"NEW: Official guidance from Ontario for those who got AstraZeneca - As of tomorrow, Ontarians who received a first dose of AstraZeneca can choose to receive a second dose of the AstraZeneca vaccine, or an mRNA (Pfizer or Moderna) vaccine for their second dose. #onpoli",555,184,70,33
2208,2020-12-15 22:32:52+00:00,1338975341331812355,I present to you: the COVID-19 mRNA vaccine for non-scientists! I wanted to make something to help teach my family and friends how mRNA vaccines work and hopefully encourage them to get the vaccine now that it's available! #COVID19 #scicomm @BioRender https://t.co/zAuY0LaEvb,467,184,22,19
2129,2020-12-26 17:54:03+00:00,1342891437537505280,"1/

A #langsec take on https://t.co/VSL0MskF6U:

Okay, so basically the reason mRNA vaccines work is 1) a parser differential between how the immune system interprets an unfamiliar token (the 🔱 nucleoside) and how ribosomes interpret it,",433,184,11,26
354,2021-07-30 12:00:46+00:00,1421078310805721095,"Twitter suspends Nation of Islam for attacking mRNA vaccines, but not for attacking Jews https://t.co/652l87Jqm3 https://t.co/HD1MAauQxD",424,184,14,8
1230,2021-05-06 08:39:52+00:00,1390224783095353345,"The US &amp; EU said they would consider waving the intellectual property protection for Covid-19 vaccines. Here's a thread about that: 
1.there currently are 3 major types of vaccine available: mRNA (BioNTech,Moderna), viral vector (AstraZeneca,J&amp;J), inactivated virus (Sinopharm)",383,184,11,98
1449,2021-04-13 21:44:22+00:00,1382087289950572551,"Whoops 😬 wasn't suppose to use the mRNA term. 

Secondly if this vaccine is effective we should be able to walk around maskless instead of looking like sheep. https://t.co/D59EY4k42S",267,184,35,13
2047,2021-01-11 12:58:46+00:00,1348615336573235202,"7) That said, BioNTech founder says it only takes them 6 weeks to synthesize a new mRNA vaccine for any new variant. Tricky question is how much clinical testing needs repeated / how long before it can be deployed: 10 mo w/ Phase 3 again? Or shorter P1&amp;2? https://t.co/wRaX2GW7Ck",645,183,14,20
1295,2021-04-29 11:59:54+00:00,1387738410790625281,"Vaccines work! Real world effectiveness of COVID-19 mRNA vaccines among hospitalized adults aged ≥65 years.
•94% effective against COVID-19 hospitalization among fully vaccinated
•64% effective among partially vaccinated
Psst. That 2nd dose matters!
https://t.co/ALSH3AEGap https://t.co/405sGklwyJ",582,183,18,12
1756,2021-02-26 05:12:15+00:00,1365167774817992707,"Data from Israel shows large increases in deaths directly after government-backed experimental mRNA injections.
I will not be taking a 'Covid vaccine'. https://t.co/z6XThURJra",423,183,36,14
1113,2021-05-23 20:35:33+00:00,1396565486356205571,"Pfizer had approached the federal govt in June 2020 about ordering their covid-19 vaccine. However, relying on medical advice, the Morrison government was hesitant because it was a mRNA vaccine. Nothing happened until November. #4Corners tonight. #auspol https://t.co/U28eFjENG8",331,183,24,9
1018,2021-06-06 12:52:44+00:00,1401522444112994305,"Almost four years ago now, I was talking about Tim Alefantis and Sanofi doing a virus lockdown and forcing a universal vaccine. Sanofi does the heavy MRNA lifting for Pfizer and Moderna.  And now they have released their own vax. https://t.co/I9VTt8YsgN",299,183,23,15
577,2021-07-09 18:26:57+00:00,1413565353519632392,"Modern a had started developing their mRNA Corona virus vaccine BEFORE it's existence was even hypothesised. If you still believe that any of this true I have a bag of magic beans for sale...

https://t.co/9HBEgpN1fR",270,183,21,5
1021,2021-06-06 03:36:10+00:00,1401382380577779714,"หลายคนคงเห็นข่าวนี้

ในขณะที่บ้านเราอยากได้ไฟเซอร์ โมเดิร์นน่ากัน

สิงคโปร์ที่ฉีดวัคซีนตระกูล mRNA ไป 35% กลับสั่งซื้อ Sinovac เพิ่มแทน

Sinovac COVID-19 vaccine to be allowed in Singapore under special access route after WHO approval https://t.co/M58tXF47Ym https://t.co/2IK7USYFbL",117,183,11,4
2172,2020-12-19 03:09:58+00:00,1340132239045058560,Today @US_FDA granted Emergency Use Authorization to @moderna_tx for #COVID19 vaccine mRNA-1273. We are proud of the work by scientists at #NIH's @NIAIDnews who co-developed this urgently needed vaccine. https://t.co/1LqivvTwXS https://t.co/vI468ZEboz,648,182,38,14
505,2021-07-16 17:27:08+00:00,1416087015448264705,"Malta will be the gold standard test for COVID vaccine efficacy. A natural experiment in progress. Results in a month. 

Almost everyone eligible has been vaccinated. 75% with mRNA vaccine. Rest Astra Zeneca. Surge in progress. Deaths remain low. @erikbryn @ASlavitt @jburnmurdoch https://t.co/CUS5AnYD7T",521,182,25,16
306,2021-08-04 15:31:15+00:00,1422943220422438927,"The benefits of vaccinating adolescents with mRNA vaccines greatly outweigh the risks.

Now, in our new pre-print (led by the multi-talented @dgurdasani1 &amp; @chrischirp) we quantify the benefits and risks precisely. https://t.co/rmCObPYwZL",471,182,11,11
2395,2020-11-16 17:23:39+00:00,1328388274843394049,Profoundly encouraged by interim data from Phase 3 of @moderna_tx’s #mRNA-based #COVID19 vaccine candidate which shows 94.5% efficacy in preventing #COVID19. The vaccine is being developed in partnership w/ #NIH’s @niaidnews via #OperationWarpSpeed. #ACTIV https://t.co/O30tGWZjBO,725,181,40,30
2051,2021-01-10 14:27:55+00:00,1348275381619585025,"BioNTech applied the mRNA technology of its COVID vaccine to a vaccine for multiple sclerosis.

Findings from a study in mice are promising.

– Their new paper in Science https://t.co/UyXDgB5jMK
– Good write up https://t.co/PKGsPluyj3",660,181,10,51
2272,2020-12-08 12:14:23+00:00,1336282978901757953,"""Up until December 2020, no mRNA vaccine, drug, or technology platform, had ever been approved for use in humans, and before 2020, mRNA was only considered a theoretical or experimental candidate for use in humans""

Phew.",620,181,27,16
715,2021-06-30 07:48:15+00:00,1410143128120532992,"Age recommendation change announced by @ScottMorrisonMP without consulting the medical profession. Political decision to move AstraZeneca vaccine stocks while waiting for mRNA supplies to arrive. GPs blindsided, left to negotiate risk/ benefit with patients against ATAGI advice https://t.co/ij7HXwiWyM",605,181,33,7
1023,2021-06-05 17:37:52+00:00,1401231812639199236,"Covid + ppl can just get a single shot of mRNA vaccine 4wk after recovering to achieve full immunity for the future

کرونا سے صحتیاب ہونے کے چار ہفتے بعد اگر آپ فایزر یا موڈرنا ویکسین کا ایک ٹیکا ہی لگوا لیں تو مکمل امیونٹی مل جاۓ گی آئندہ کےلیے

https://t.co/nG7SXoTlMC",580,181,31,13
808,2021-06-24 04:54:20+00:00,1407925033591361536,"Good news—mRNA vaccines by Pfizer &amp; Moderna do not cause male sperm infertility. In fact, it somewhat increased sperm concentrations and ⬆️ sperm motility (though authors think it might be due to “increased abstinence time” of second sample 🤷🏻‍♂️). #COVID19
https://t.co/iNTf5IVvY9 https://t.co/lfLUu5VtJw",550,181,49,55
1792,2021-02-21 00:37:32+00:00,1363286697736167425,"Things that alter your DNA:
- UV rays from the sun
- Some viruses
- Some foods
- Cigarette smoke

Things that don’t alter your DNA:
- mRNA Covid vaccines
- Masks
- Hand washing 
- Consideration for the health of other people",516,181,12,3
1733,2021-03-01 18:37:41+00:00,1366457632936972291,"New (more) data on potent immune response of single dose mRNA vaccine for people with prior covid, here among healthcare workforce @JAMA_current 
https://t.co/CjGxzAdLV6 https://t.co/eP5mm9gHSL",495,181,15,21
1026,2021-06-05 13:08:59+00:00,1401164147505700866,And 95 million MRNA vaccines (of Pfizer and Moderna) to arrive before the end of September. https://t.co/YjZapHpn20,1360,180,112,34
2288,2020-12-07 15:18:00+00:00,1335966797577773064,mRNA vaccines: Sending an email to your immune system enabling you to recognize and defend against a dangerous intruder.,1071,180,40,25
391,2021-07-27 20:17:15+00:00,1420116090693296132,"Remind me how many wide-scale mRNA vaccines existed when Harper was in power.
Oh, wait – it was zero. https://t.co/ZmrCsu8kM1",703,180,87,13
1102,2021-05-26 08:06:35+00:00,1397464166273753088,"This is heart-wrenching, a man is losing his family because they’re all getting the experimental mRNA vaccine despite the vaccine manufacturers having no liability for death &amp; damages or reactions / long term side effects, the worst part is his own daughter gaslights him 🥺 https://t.co/DUdhJzbTAI",679,180,134,140
2411,2020-11-16 12:30:11+00:00,1328314419214954507,"More good news on the #Covid19 vaccine front. Moderna's mRNA vaccine looks to be 94.5% effective preliminary analysis. All severe Covid cases were in placebo group. We won't know for a while, though, how long protection from any of the vaccines will last. https://t.co/VrfxZfKcet",596,180,21,36
60,2021-08-25 16:21:17+00:00,1430565955420270597,"I'm just putting this here for the Editorial Board of the 
@WSJ, who said last year:

""It’s not clear developing countries even have the ability to manufacture large-scale, complex technologies like Moderna’s mRNA vaccine...let alone distribute them"" https://t.co/N5B0cR7owX https://t.co/lcfZB5Xomb",431,180,9,10
1256,2021-05-04 12:17:36+00:00,1389554804918300675,"People are asking how they should feel about getting AZ given the preference for mRNA Vaccines.

They should feel good.  They've reduced their risk of symptomatic COVID-19, death, hospital and ICU. 

They don't need to worry about the second dose for at least 90 days",1026,179,36,9
2387,2020-11-18 13:46:27+00:00,1329058388370739201,"There are people who are ""excited"" to try the new MRNA vaccines just like there were pregnant women who were excited to try thalidomide in the 1950s.",928,179,42,45
701,2021-06-30 23:32:38+00:00,1410380788244353028,"mRNA #COVID19 vaccines (Pfizer/Moderna) doing exactly what we'd expect them to do in real world settings. 

Among 3975 essential workers, vaccines:

1. Significantly reduce chances of infection
2. If infected, decrease severity &amp; duration of illness

Link: https://t.co/KRi315xTMH https://t.co/dwzdMsniEp",905,179,62,26
1286,2021-04-30 16:44:40+00:00,1388172462882443270,"mRNA vaccines are also quicker to scale up, and they’re likely safer and more effective. Handling is getting easier, and cold chain problems can be addressed. They’re our best hope for an end to the global pandemic. But current capacity is nowhere near the global need. 8/",748,179,7,6
1705,2021-03-10 09:42:39+00:00,1369584474401439746,how the mRNA vaccine works ✨ https://t.co/MADZBi9iSd,525,179,1,6
1511,2021-04-09 12:06:09+00:00,1380492227500249089,"Both Pfizer and AstraZeneca state in their Healthcare Leaflets
NOT TO MIX VACCINE DOSES

France stating people whose 1st dose was AstraZeneca could
have an mRNA vaccine as a 2nd dose.

https://t.co/R6uSzvlbtr

https://t.co/2PzyxLrczK

. https://t.co/IJ2bFKdCSV",258,179,32,16
602,2021-07-08 04:34:53+00:00,1412993567262482433,LinkedIn Deletes Account of mRNA Vaccines Inventor for Warning About the Risks of COVID-19 Shots.. https://t.co/wUyuJS29z4,211,178,10,9
2348,2020-11-29 00:25:44+00:00,1332843151246184449,"How we got to mRNA vaccines (and what it was like to work on the idea in the 90s):

https://t.co/wG9BqRbFsv https://t.co/hSdCWQ8mzN",1230,177,23,38
1242,2021-05-05 19:17:25+00:00,1390022840888532995,"*U.S. SUPPORTS WAIVER OF VACCINE-PATENT PROTECTIONS AT WTO
*PFIZER, MODERNA FALL ON U.S. SUPPORT OF VACCINE-PATENT WAIVER
$PFE -1.9%, $MRNA -7%, $NVAXZ -7%, $VXRT -15% https://t.co/nRfOgulRpC",897,177,120,113
322,2021-08-03 00:55:23+00:00,1422360414243868673,Let's not forget: if Morrison had of ordered enough Pfizer and other MRNA vaccines and built fit for purpose quarantine we wouldn't be here. The fact that we are squabbling over needing to accept a vaccine that is being phased out by the end of the year is on Morrison.,639,177,29,9
1831,2021-02-13 09:31:35+00:00,1360521996791123972,mRNA technology gave us the first COVID-19 vaccines. It could also upend the drug industry  https://t.co/ufdII3VqGM,567,177,15,16
769,2021-06-26 18:49:19+00:00,1408859938802343943,"Fact 1: mRNA vaccines were not developed too quickly. 
Fact 2: Most of those dying now are unvaccinated. https://t.co/I118e73vNI",508,177,9,6
2244,2020-12-10 23:54:26+00:00,1337183926662680578,The @US_FDA Vaccines and Related Biological Products Advisory Committee (#VRBPAC) voted in support of granting Emergency Use Authorization (EUA) in the US for the Pfizer-@BioNTech_Group #COVID19 mRNA vaccine: https://t.co/RutPxwDHuu https://t.co/2qqREKRFck,506,177,39,67
1041,2021-06-04 06:09:02+00:00,1400696076298981380,"SII 'Covishield' : 113.6 cr
BB 'Covaxin' : 68 cr
Bio E Sub Unit vaccine : 30 cr
SII 'Novavax' : 20 cr
Gamaleya 'Sputnik-V' : 15.6 cr
BB Nasal vaccine : 10 cr
Gennova mRNA : 6 cr
Zydus DNA vaccine : 5 cr

Estimated pipeline of 268.2 cr+ ""vaccines"" by Dec'21 in ""Bharatvarsh"".",473,177,8,6
1543,2021-04-06 15:00:05+00:00,1379448834326138881,"Have questions on how mRNA vaccines protect against #COVID19?

The mRNA in #COVID19 vaccines has information to teach your body how to fight the virus. The vaccine does not contain live virus, so it can’t give you COVID-19. It cannot change your DNA. More: https://t.co/WK1dmAm8Bn https://t.co/CcoluMijMJ",273,177,39,13
1346,2021-04-23 12:07:24+00:00,1385565968701825026,"The Puurs site was the first to produce mRNA vaccines at large scale in 🇪🇺
 
Now we are leading worldwide on this technology.
 
We are negotiating a new contract to secure 1.8 billion doses for 2021-23.

For booster shots and protection against variants. https://t.co/ZV69H2bsmO",1021,176,126,53
34,2021-08-27 11:48:05+00:00,1431221979172978690,#Covid19 mRNA vaccine production soon effective  in Rwanda and Senegal.Thanks to BioNTech committed for Tech and Knowledge  Transfer for manufacturing vaccines in https://t.co/rK4Mk6Y1hU KenUP foundation  congs for catalytic role ... https://t.co/UQDxttBe6A https://t.co/hADkIwvXV1,584,176,10,11
1052,2021-06-02 20:51:20+00:00,1400193336514859011,"@Biffboff2 This is the trouble. In animal trials in previous mRNA vaccines, they got sick, six, nine, twelve months later. Humans are bigger. Two to three years maybe? Less? This IS the experiment. https://t.co/FVTNYuSc3w",330,175,15,14
889,2021-06-19 10:38:16+00:00,1406199645936685060,"Dr. Robert W. Malone, the original inventor of mRNA vaccine technology, noted that normal pharmacokinetic and pharmaco-toxicology studies had not been performed before EUA authorization for the Pfizer #COVID19 #vaccine.

https://t.co/46je5StYUR",244,175,14,14
1450,2021-04-13 20:03:10+00:00,1382061822237413384,"I might be a bit slow on the uptake here...but how is it that China has managed to isolate SARS-Cov-2 &amp; used it to develop a ‘traditional’ vaccine using whole attenuated virus? Meanwhile, over in the Western world, we’re using experimental DNA &amp; mRNA vaccines coding for spike?",627,174,82,8
1839,2021-02-12 13:28:54+00:00,1360219330651250688,"Irish Dr Gerard Waters has refused to administer CV vaccines or refer pts for tests. ""I'm a conscientious objector,"" he told RTE. ""I will not put anything into someone else's arm that I would not put into my own arm (like)...an experimental mRNA vaccine.""
https://t.co/Ftl6eDZScP",303,174,21,25
1258,2021-05-04 02:42:13+00:00,1389410002880901121,"mRNA vaccines make one protein

SARSCoV2 makes 29 proteins 

I’ll take my chances with the 1 protein",1217,173,27,11
2164,2020-12-19 21:33:45+00:00,1340410014255652865,"Additionally, single mutations will generally have small impacts on polyclonal immune responses and the strong immune response to the mRNA vaccines would suggest that a large antigenic change would be needed to significantly reduce efficacy. 16/18
https://t.co/nkDdB0ClEI",892,173,10,31
1253,2021-05-04 18:31:59+00:00,1389649019320905732,"Let's be clear  mRNA vaccines Pfizer/Moderna provide greater % protection from any type of Covid  But AZ provides near 100% protection against severe illness, hospitalization,+death  

1st avail vaccine is best  ON pts have died waiting
Don't shop til you drop 
#covid #novascotia",744,173,23,8
2145,2020-12-23 02:49:03+00:00,1341576526828089344,"Can I Get the COVID Vaccine Despite History of Allergy?

The ONLY absolute contraindication to COVID vaccine is a severe allergy/anaphylaxis to these mRNA vaccines

People with ANY other allergy (drug, food, environment etc) have a path to the vaccine. 

See ⬇️ https://t.co/I48jRYwi8k",584,173,12,7
1440,2021-04-14 13:10:48+00:00,1382320434583015424,"What are  cerebral venous sinus thromboses (CVST), a very unusual form of brain blood clots? (as occurred in @HillaryClinton) https://t.co/qjR6SpI01S @danielas_bot @Brabbott42
Very rare w/ adenovirus vector vaccines
Zero in &gt;180 million doses of mRNA vaccines, via @MoNscience https://t.co/rekdycoLQG",385,173,16,11
635,2021-07-06 03:59:22+00:00,1412259852785651715,"The lengths they will go to! Dr. Bob Malone was one of the earliest researchers in mRNA technology.  Because he dared to say that the risk/benefit ratio in children for the mRNA vaccines favors risk over benefit, Linked In removed his account.

https://t.co/xypVfvFGSQ",318,173,16,12
1496,2021-04-10 08:34:04+00:00,1380801239504543746,"MUST READ - Deep Dive

A shocking study has revealed the terrifying dangers of mRNA #COVID19 vaccines inducing #prion based disease causing your brain to degenerate progressively because long-term memories are maintained by prion-like proteins. https://t.co/MfXsGrVbDb",174,173,19,39
576,2021-07-09 19:40:29+00:00,1413583855932645380,"#الغذاء_والدواء توافق على تسجيل لقاح ""موديرنا"" ( Moderna COVID-19 Vaccine mRNA-1273) لفيروس كورونا، ليكون اللقاح الرابع الموافق عليه في المملكة بعد فايزر - استرازينيكا - جونسون آند جونسون.
https://t.co/iJ3HZinEJL https://t.co/6QhDmZHFe9",157,173,38,17
250,2021-08-10 14:51:44+00:00,1425107603349295119,"Moderna will build an mRNA vaccine production plant in Canada.

This is excellent news (and essential).

Even though it may take a few years, it prepares us better for future public health threats.

https://t.co/rDUHwW4SAQ by @mrabson",1918,172,66,25
